id,created_at,text
1049418913187069952,2018-10-08 21:59:00,FLGovScott: Locally-ordered evacuations have started ahead of Hurricane Michael in some FL counties. Visit
1049384995956109312,2018-10-08 19:44:14,President Trump stands with our brave men and women in blue.
1049374925134483457,2018-10-08 19:04:13,President  realDonaldTrump is working with state and local officials in Florida on preparedness ahead of Hurricane\xe2\x80\xa6
1049373706894684161,2018-10-08 18:59:22,America\xe2\x80\x99s police officers have earned the everlasting gratitude of our Nation. In moments of danger &amp; despair you are\xe2\x80\xa6
1049373680743186436,2018-10-08 18:59:16,"It was my great honor to address the International Association of Chiefs of Police Annual Convention in Orlando, Flori\xe2\x80\xa6"
1049368121235177472,2018-10-08 18:37:11,"""On behalf of all Americans, I want to express our eternal gratitude for what you do every single day to protect ou\xe2\x80\xa6"
1049347951015989249,2018-10-08 17:17:02,Watch LIVE at 1:35 PM ET as President Trump addresses the International Association of Chiefs of Police Annual Conv\xe2\x80\xa6
1049343807630856192,2018-10-08 17:00:34,FLOTUS: Thank you Kenya \xf0\x9f\x87\xb0\xf0\x9f\x87\xaa \xf0\x9f\x87\xba\xf0\x9f\x87\xb8
1049331337285570562,2018-10-08 16:11:01,"Judge Kavanaugh becoming Justice Kavanaugh ""is a good thing for the integrity of our Constitution, for elementary A\xe2\x80\xa6"
1049318571556397056,2018-10-08 15:20:17,". IvankaTrump visited the  NASCAR Technical Institute in North Carolina last week, where she learned about careers\xe2\x80\xa6"
1049291574876823554,2018-10-08 13:33:01,"Today, \xe2\x80\x9cwe continue to seek new horizons for greater opportunity and further discovery on land, in sea, and in spac\xe2\x80\xa6"
1049095278240964609,2018-10-08 00:33:00,"""President Trump\xe2\x80\x99s maxim that \economic security is national security\ comes with an important corollary: A strong\xe2\x80\xa6"
1049072644560175104,2018-10-07 23:03:03,\xe2\x80\x9cI want to thank President Abdel Fattah Al Sisi and First Lady Entissar Amer for hosting me in Egypt. It was a nice\xe2\x80\xa6
1049055774184562694,2018-10-07 21:56:01,"On Saturday Morning,  FLOTUS landed in Cairo, Egypt, where she met with President Abdel Fattah Al Sisi and First La\xe2\x80\xa6"
1049050988835950596,2018-10-07 21:37:00,"b""Americas workers are making a comeback! \xe2\x80\x9cThe unemployment rate fell in September to the lowest level since the Vie\xe2\x80\xa6"
1049016131732877312,2018-10-07 19:18:30,"In Malawi,  FLOTUS visited the Chipala Primary School where she met local schoolchildren: ""The growth and success o\xe2\x80\xa6"
1048985810245234689,2018-10-07 17:18:01,"\xe2\x80\x9cNational wage growth is at the highest it\xe2\x80\x99s been in nearly 17 months \xe2\x80\x94 and, according to a new study released by G\xe2\x80\xa6"
1048983050527363072,2018-10-07 17:07:03,FLOTUS: Thank you Kenya \xf0\x9f\x87\xb0\xf0\x9f\x87\xaa \xf0\x9f\x87\xba\xf0\x9f\x87\xb8
1048950353188802560,2018-10-07 14:57:07,. SecPompeo had a good meeting with Chairman Kim today in Pyongyang. Progress made on Singapore Summit Agreements! I l\xe2\x80\xa6
1048695469407424513,2018-10-06 22:04:18,"Following a visit filled with meaningful stops,  FLOTUS thanked the people of Ghana for the opportunity to learn ab\xe2\x80\xa6"
1048674680834576384,2018-10-06 20:41:42,"I applaud and congratulate the U.S. Senate for confirming our GREAT NOMINEE, Judge Brett Kavanaugh, to the United Stat\xe2\x80\xa6"
1048673762613362689,2018-10-06 20:38:03,"""The Nest is a prime example of what it means to protect and nurture our next generation \xe2\x80\x94 seeing their efforts sha\xe2\x80\xa6"
1048626713478012930,2018-10-06 17:31:05,"From English lessons with schoolchildren to feeding baby elephants, First Lady Melania Trump has had an incredible\xe2\x80\xa6"
1048606316128849922,2018-10-06 16:10:02,"""I was awed by the beauty of Nairobi National Park and was very interested to learn more about Kenya\xe2\x80\x99s conservation\xe2\x80\xa6"
1048592721831743490,2018-10-06 15:16:01,"\xe2\x80\x9cFew Americans would say that they\xe2\x80\x99re actually sick of winning, but you can add one more positive report to the rec\xe2\x80\xa6"
1048574597644390400,2018-10-06 14:04:00,"Yet another key barometer of the U.S. economy has hit a 21-year high: The ISI index climbed to 61.6 in September. ""\xe2\x80\xa6"
1048355406588862464,2018-10-05 23:33:01,"Late Thursday night,  FLOTUS arrived in Nairobi, Kenya, where she fed baby elephants at the Sheldrick Elephant Orph\xe2\x80\xa6"
1048347605145702402,2018-10-05 23:02:01,"Continuing on to Lilongwe, Malawi\xe2\x80\x94known as the \xe2\x80\x9cwarm heart of Africa""\xe2\x80\x94 FLOTUS visited Chipala Primary School and sp\xe2\x80\xa6"
1048341313089953793,2018-10-05 22:37:00,". FLOTUS began her four-country foreign trip to Africa in Ghana earlier this week. She toured Ridge Hospital, paid\xe2\x80\xa6"
1048320012702953472,2018-10-05 21:12:22,President  realDonaldTrump is protecting our homeland against new and unforeseen strategic challenges\xe2\x80\x94and ensuring\xe2\x80\xa6
